Time,CloudCover (In %),Direct_radiation (W/m²),Humidity (%H),Precipitaion (mm),SolarGeneration (MW),Surface_Pressure (hPa),Temperature (°C),ThermalGeneration (GW),Energy_Demand (GW),WindGeneration (MW),WindSpeed (km/h),USD_EGP_FX (EGP),Air_Density,BRENT_Crude_Oil_USD ($)
1/1/2022 0:00,13%,0 W/m²,92 %H,0 mm,0 MW,1010 hPa,11.3 °C,2.04 GW,2.09 GW,52.5 MW,13.2 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 0:15,15%,0 W/m²,92 %H,0 mm,0 MW,1010 hPa,11 °C,2.10 GW,2.15 GW,45.3 MW,12.8 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 0:30,17%,0 W/m²,92 %H,0 mm,0 MW,1010 hPa,10.9 °C,2.00 GW,2.04 GW,38.1 MW,12.4 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 0:45,20%,0 W/m²,92 %H,0 mm,0 MW,1010 hPa,10.9 °C,1.87 GW,1.91 GW,38.1 MW,12.4 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 1:00,21%,0 W/m²,92 %H,0 mm,0 MW,1010 hPa,10.9 °C,1.92 GW,1.96 GW,36.3 MW,12.3 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 1:15,21%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.8 °C,2.18 GW,2.23 GW,41.7 MW,12.6 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 1:30,21%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.7 °C,2.20 GW,2.25 GW,48.9 MW,13 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 1:45,21%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.7 °C,2.26 GW,2.30 GW,38.1 MW,12.4 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 2:00,21%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.7 °C,1.98 GW,2.05 GW,61.6 MW,13.7 km/h,15.7 EGP,1.24,$78.30 
1/1/2022 2:15,18%,0 W/m²,93 %H,0 mm,0 MW,1010 hPa,10.6 °C,1.99 GW,2.05 GW,63.4 MW,13.8 km/h,15.7 EGP,1.24,$78.30 
